1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
16,2000,1000,200,96,6,16
2000,16,16,8,24,2,16
16,2000,16,8,96,6,16
16,2000,16,200,24,2,4000
16,16,1000,8,24,2,16
16,2000,1000,200,24,6,4000
2000,2000,1000,8,24,6,4000
16,2000,16,8,24,2,16
2000,2000,1000,200,96,6,4000
2000,2000,16,200,24,6,4000
16,2000,1000,8,96,2,16
2000,2000,1000,8,24,2,16
16,16,1000,8,96,2,4000
16,2000,1000,8,24,6,16
2000,16,16,8,24,6,4000
16,16,16,8,24,6,16
16,2000,1000,8,96,6,4000
2000,2000,1000,200,24,6,16
2000,16,16,200,24,2,4000
2000,16,1000,8,96,2,16
2000,2000,1000,8,96,6,16
2000,16,1000,8,24,2,4000
16,16,1000,200,24,2,4000
2000,16,1000,200,96,6,16
16,2000,16,200,24,6,16
2000,16,1000,200,24,2,16
2000,2000,1000,200,96,2,16
16,16,16,200,24,2,16
2000,2000,16,8,96,6,4000
2000,2000,1000,200,24,2,4000
2000,2000,1000,8,96,2,4000
2000,16,1000,200,24,6,4000
1008,1008,508,104,60,4,2008
16,2000,16,8,24,6,4000
2000,2000,16,200,24,2,16
2000,2000,16,8,96,2,16
16,2000,1000,8,24,2,4000
16,2000,1000,200,96,2,4000
2000,16,1000,8,24,6,16
2000,16,16,200,96,6,4000
2000,16,16,8,96,2,4000
2000,16,16,200,24,6,16
16,2000,1000,200,24,2,16
2000,16,16,200,96,2,16
16,16,1000,8,24,6,4000
2000,2000,16,200,96,6,16
16,16,16,200,96,6,16
2000,2000,16,8,24,6,16
16,16,1000,8,96,6,16
2000,2000,16,8,24,2,4000
16,16,1000,200,24,6,16
2000,16,1000,200,96,2,4000
16,16,16,200,24,6,4000
2000,16,16,8,96,6,16
16,2000,16,200,96,6,4000
16,2000,16,8,96,2,4000
16,16,1000,200,96,6,4000
16,16,16,200,96,2,4000
2000,16,1000,8,96,6,4000
16,16,1000,200,96,2,16
16,16,16,8,96,2,16
16,16,16,8,24,2,4000
2000,2000,16,200,96,2,4000
16,2000,16,200,96,2,16
16,16,16,8,96,6,4000
1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
2000,16,16,200,24,2,4000
16,16,1000,8,96,2,4000
16,2000,1000,200,24,2,16
16,16,16,200,24,6,4000
2000,2000,16,200,24,2,16
16,16,1000,200,24,2,4000
2000,2000,16,8,96,6,4000
16,2000,1000,8,24,2,4000
2000,16,1000,8,96,6,4000
16,2000,1000,200,96,6,16
2000,2000,16,8,24,2,4000
16,2000,16,8,24,6,4000
16,2000,1000,200,24,6,4000
16,16,16,8,96,2,16
16,2000,16,200,24,6,16
2000,16,1000,200,96,6,16
2000,16,1000,8,24,6,16
16,16,16,8,24,2,4000
2000,2000,16,200,96,6,16
2000,16,16,8,24,6,4000
2000,2000,1000,8,24,6,4000
2000,2000,1000,200,24,2,4000
2000,16,16,200,24,6,16
2000,16,16,8,96,2,4000
2000,2000,1000,8,96,2,4000
2000,16,1000,8,24,2,4000
16,2000,1000,8,96,2,16
16,16,16,8,96,6,4000
2000,16,1000,8,96,2,16
16,16,16,200,96,2,4000
16,2000,16,200,24,2,4000
2000,2000,16,200,96,2,4000
1008,1008,508,104,60,4,2008
16,16,16,8,24,6,16
2000,2000,16,200,24,6,4000
16,2000,16,8,24,2,16
2000,16,16,200,96,6,4000
2000,2000,16,8,96,2,16
16,16,1000,200,24,6,16
16,16,1000,8,96,6,16
2000,16,1000,200,24,2,16
16,2000,16,200,96,6,4000
16,2000,16,8,96,2,4000
2000,2000,16,8,24,6,16
16,16,1000,8,24,2,16
16,16,16,200,96,6,16
16,2000,16,8,96,6,16
2000,16,16,200,96,2,16
16,2000,1000,8,24,6,16
2000,2000,1000,200,96,6,4000
2000,2000,1000,200,96,2,16
2000,16,1000,200,24,6,4000
2000,2000,1000,8,24,2,16
16,2000,1000,200,96,2,4000
2000,16,16,8,24,2,16
16,16,1000,200,96,2,16
2000,16,1000,200,96,2,4000
16,16,16,200,24,2,16
2000,2000,1000,8,96,6,16
2000,16,16,8,96,6,16
16,16,1000,200,96,6,4000
16,2000,16,200,96,2,16
2000,2000,1000,200,24,6,16
16,2000,1000,8,96,6,4000
16,16,1000,8,24,6,4000
1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
2000,2000,1000,200,24,6,16
16,2000,16,200,96,6,4000
2000,16,1000,8,24,2,4000
2000,2000,16,200,24,2,16
16,16,16,200,24,2,16
16,2000,1000,200,24,2,16
2000,2000,1000,8,24,2,16
16,16,1000,8,24,2,16
16,16,16,200,96,2,4000
16,16,16,8,24,6,16
16,2000,1000,200,24,6,4000
2000,16,1000,8,96,6,4000
2000,2000,16,200,96,6,16
2000,16,16,200,96,2,16
16,16,1000,8,96,2,4000
16,16,16,200,96,6,16
2000,16,16,8,24,6,4000
16,2000,1000,8,96,6,4000
16,2000,1000,8,24,6,16
16,2000,16,200,96,2,16
2000,16,16,8,96,6,16
16,2000,1000,8,24,2,4000
2000,2000,1000,200,24,2,4000
2000,2000,1000,8,96,6,16
2000,2000,16,8,96,6,4000
2000,16,16,8,96,2,4000
16,2000,16,8,96,2,4000
16,16,1000,8,24,6,4000
2000,16,1000,8,24,6,16
16,16,16,8,24,2,4000
2000,16,1000,200,96,6,16
16,16,1000,8,96,6,16
1008,1008,508,104,60,4,2008
16,2000,16,200,24,2,4000
16,2000,16,200,24,6,16
2000,2000,1000,8,24,6,4000
2000,2000,1000,200,96,2,16
2000,16,16,200,24,6,16
16,2000,1000,8,96,2,16
16,16,1000,200,24,6,16
16,16,16,8,96,6,4000
2000,16,1000,200,96,2,4000
2000,2000,1000,8,96,2,4000
2000,16,1000,200,24,2,16
2000,2000,16,200,24,6,4000
2000,16,16,200,24,2,4000
2000,2000,16,8,96,2,16
2000,2000,1000,200,96,6,4000
16,16,16,8,96,2,16
16,2000,16,8,24,6,4000
16,16,1000,200,24,2,4000
16,16,1000,200,96,6,4000
16,2000,1000,200,96,2,4000
2000,16,16,8,24,2,16
2000,2000,16,8,24,2,4000
16,16,16,200,24,6,4000
16,2000,16,8,24,2,16
2000,2000,16,8,24,6,16
16,16,1000,200,96,2,16
16,2000,16,8,96,6,16
2000,2000,16,200,96,2,4000
2000,16,16,200,96,6,4000
16,2000,1000,200,96,6,16
2000,16,1000,200,24,6,4000
2000,16,1000,8,96,2,16
1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
1008,1008,508,104,-44.7753900156958,4,2008
1008,1008,508,104,164.775390015696,4,2008
1008,1008,508,383.401040041856,60,4,2008
1008,1008,508,104,60,-1.82085500087199,2008
-1879.14408043251,1008,508,104,60,4,2008
1008,1008,-923.93033021451,104,60,4,2008
1008,1008,508,104,60,4,7805.5715808685
1008,1008,508,104,60,4,-3789.5715808685
1008,1008,508,104,60,4,2008
1008,-1879.14408043251,508,104,60,4,2008
1008,3895.14408043251,508,104,60,4,2008
3895.14408043251,1008,508,104,60,4,2008
1008,1008,508,104,60,9.82085500087199,2008
1008,1008,1939.93033021451,104,60,4,2008
1008,1008,508,-175.401040041856,60,4,2008
1008,1008,508,104,60,4,2008
1008,1008,-923.93033021451,104,60,4,2008
3895.14408043251,1008,508,104,60,4,2008
1008,1008,508,104,-44.7753900156958,4,2008
1008,1008,508,104,60,4,2008
-1879.14408043251,1008,508,104,60,4,2008
1008,1008,508,104,60,9.82085500087199,2008
1008,1008,508,104,60,4,-3789.5715808685
1008,1008,508,104,60,4,7805.5715808685
1008,1008,508,104,60,4,2008
1008,1008,508,104,164.775390015696,4,2008
1008,-1879.14408043251,508,104,60,4,2008
1008,1008,508,104,60,4,2008
1008,3895.14408043251,508,104,60,4,2008
1008,1008,508,383.401040041856,60,4,2008
1008,1008,508,-175.401040041856,60,4,2008
1008,1008,508,104,60,-1.82085500087199,2008
1008,1008,1939.93033021451,104,60,4,2008
1008,1008,508,104,-44.7753900156958,4,2008
1008,1008,508,104,60,4,-3789.5715808685
1008,-1879.14408043251,508,104,60,4,2008
1008,1008,508,104,60,4,7805.5715808685
1008,1008,1939.93033021451,104,60,4,2008
1008,1008,508,104,60,9.82085500087199,2008
1008,1008,-923.93033021451,104,60,4,2008
1008,1008,508,104,60,-1.82085500087199,2008
1008,1008,508,104,164.775390015696,4,2008
1008,1008,508,104,60,4,2008
3895.14408043251,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
1008,3895.14408043251,508,104,60,4,2008
-1879.14408043251,1008,508,104,60,4,2008
1008,1008,508,-175.401040041856,60,4,2008
1008,1008,508,383.401040041856,60,4,2008
1008,1008,508,104,60,4,2008
1008,1008,508,104,60,4,2008
