1008,1008,508000,60000
1008,1008,508000,60000
1504,1504,754000,78000
1504,1504,754000,42000
1008,1008,508000,60000
1008,1008,508000,60000
1008,1008,508000,60000
512,1504,754000,78000
1504,512,262000,42000
512,512,262000,42000
512,1504,262000,78000
1504,1504,262000,78000
1504,1504,262000,42000
512,1504,262000,42000
512,512,754000,78000
512,512,262000,78000
1504,512,754000,42000
512,512,754000,42000
1008,1008,508000,60000
1008,1008,508000,60000
1504,512,262000,78000
1008,1008,508000,60000
512,1504,754000,42000
1504,512,754000,78000
1008,1008,508000,60000
512,512,754000,78000
1008,1008,508000,60000
1504,512,754000,42000
1504,1504,754000,42000
1008,1008,508000,60000
1504,512,262000,42000
1504,512,754000,78000
1008,1008,508000,60000
1008,1008,508000,60000
512,512,754000,42000
1008,1008,508000,60000
1504,1504,262000,78000
512,1504,262000,42000
512,512,262000,78000
512,1504,754000,42000
512,512,262000,42000
512,1504,262000,78000
512,1504,754000,78000
1504,1504,262000,42000
1504,1504,754000,78000
1504,512,262000,78000
1008,1008,508000,60000
1008,1008,508000,60000
1008,1008,508000,60000
1504,1504,262000,42000
1504,1504,754000,78000
1504,512,754000,42000
1504,512,262000,42000
512,512,262000,78000
512,1504,262000,42000
1008,1008,508000,60000
1008,1008,508000,60000
1504,512,754000,78000
512,512,262000,42000
512,1504,754000,42000
1008,1008,508000,60000
512,1504,262000,78000
512,1504,754000,78000
1008,1008,508000,60000
1008,1008,508000,60000
512,512,754000,78000
1504,1504,754000,42000
1504,512,262000,78000
1008,1008,508000,60000
512,512,754000,42000
1008,1008,508000,60000
1504,1504,262000,78000
1008,1008,508000,24000
1008,1008,16000,60000
1008,1008,508000,60000
1008,1008,508000,60000
1008,2000,508000,60000
1008,1008,1000000,60000
2000,1008,508000,60000
1008,16,508000,60000
16,1008,508000,60000
1008,1008,508000,60000
1008,1008,508000,96000
1008,1008,508000,60000
1008,1008,16000,60000
1008,1008,508000,60000
1008,16,508000,60000
1008,1008,1000000,60000
16,1008,508000,60000
1008,2000,508000,60000
1008,1008,508000,60000
1008,1008,508000,96000
1008,1008,508000,24000
1008,1008,508000,60000
2000,1008,508000,60000
1008,1008,508000,60000
1008,1008,508000,60000
1008,1008,508000,24000
1008,1008,1000000,60000
1008,16,508000,60000
1008,1008,508000,96000
1008,1008,508000,60000
1008,1008,508000,60000
1008,2000,508000,60000
1008,1008,16000,60000
16,1008,508000,60000
1008,1008,508000,60000
2000,1008,508000,60000
